run_id,timestamp_utc,split,mode,experiment,priority,description,params,eval_part,n_eval,status,recall@5,recall@10,recall@20,recall@50,duration_sec
20260624T163054Z,2026-06-24T16:32:04.972021+00:00,fold_1,cv,bm25_chunk_line_10_5_max,P0,BM25 over line-window chunks with max chunk-to-doc aggregation.,"{'config': {'k1': 1.5, 'b': 0.75}, 'chunk': {'unit': 'line', 'size': 10, 'overlap': 5}, 'aggregation': 'max', 'rank_depth': 120}",holdout,140,ok,0.37142857142857144,0.5071428571428571,0.6571428571428571,0.8071428571428572,12.06016
20260624T163054Z,2026-06-24T16:32:17.032406+00:00,fold_1,cv,bm25_chunk_line_8_4_top2,P0,Alternative line-window chunks with top-2 mean aggregation.,"{'config': {'k1': 1.5, 'b': 0.75}, 'chunk': {'unit': 'line', 'size': 8, 'overlap': 4}, 'aggregation': 'top2_mean', 'rank_depth': 120}",train,560,ok,0.4232142857142857,0.5357142857142857,0.6607142857142857,0.7964285714285714,11.827181
20260624T163054Z,2026-06-24T16:32:17.032406+00:00,fold_1,cv,bm25_chunk_line_8_4_top2,P0,Alternative line-window chunks with top-2 mean aggregation.,"{'config': {'k1': 1.5, 'b': 0.75}, 'chunk': {'unit': 'line', 'size': 8, 'overlap': 4}, 'aggregation': 'top2_mean', 'rank_depth': 120}",holdout,140,ok,0.38571428571428573,0.4928571428571429,0.6428571428571429,0.7928571428571428,11.830966
20260624T163054Z,2026-06-24T16:32:28.863603+00:00,fold_1,cv,rrf_bm25_doc_chunk,P0,RRF fusion of document BM25 and chunk BM25.,"{'members': ['bm25_doc', 'bm25_chunk_line_10_5_max'], 'rrf_k': 60, 'rank_depth': 100}",train,560,ok,0.43392857142857144,0.5589285714285714,0.6928571428571428,0.8321428571428572,0.155012
20260624T163054Z,2026-06-24T16:32:28.863603+00:00,fold_1,cv,rrf_bm25_doc_chunk,P0,RRF fusion of document BM25 and chunk BM25.,"{'members': ['bm25_doc', 'bm25_chunk_line_10_5_max'], 'rrf_k': 60, 'rank_depth': 100}",holdout,140,ok,0.39285714285714285,0.5214285714285715,0.6714285714285714,0.8142857142857143,0.158963
20260624T163054Z,2026-06-24T16:32:29.022796+00:00,fold_1,cv,rrf_sparse_doc_chunk_char,P1,Sparse fusion: BM25 full-doc + BM25 chunks + char TF-IDF.,"{'members': ['bm25_doc', 'bm25_chunk_line_10_5_max', 'tfidf_char_doc_3_5'], 'rrf_k': 60, 'rank_depth': 100}",train,560,ok,0.4517857142857143,0.6053571428571428,0.7357142857142858,0.8482142857142857,0.201694
20260624T163054Z,2026-06-24T16:32:29.022796+00:00,fold_1,cv,rrf_sparse_doc_chunk_char,P1,Sparse fusion: BM25 full-doc + BM25 chunks + char TF-IDF.,"{'members': ['bm25_doc', 'bm25_chunk_line_10_5_max', 'tfidf_char_doc_3_5'], 'rrf_k': 60, 'rank_depth': 100}",holdout,140,ok,0.39285714285714285,0.5214285714285715,0.6285714285714286,0.8214285714285714,0.205903
20260624T163054Z,2026-06-24T16:32:29.228944+00:00,fold_1,cv,rrf_sparse_doc_chunk_char_field,P1,Sparse fusion with an additional field-aware BM25 branch.,"{'members': ['bm25_doc', 'bm25_chunk_line_10_5_max', 'tfidf_char_doc_3_5', 'bm25_field_aware_doc'], 'rrf_k': 60, 'rank_depth': 100}",train,560,ok,0.45714285714285713,0.6107142857142858,0.7214285714285714,0.8428571428571429,0.216076
20260624T163054Z,2026-06-24T16:32:29.228944+00:00,fold_1,cv,rrf_sparse_doc_chunk_char_field,P1,Sparse fusion with an additional field-aware BM25 branch.,"{'members': ['bm25_doc', 'bm25_chunk_line_10_5_max', 'tfidf_char_doc_3_5', 'bm25_field_aware_doc'], 'rrf_k': 60, 'rank_depth': 100}",holdout,140,ok,0.38571428571428573,0.5285714285714286,0.65,0.8071428571428572,0.219971
20260624T163054Z,2026-06-24T16:32:29.483215+00:00,fold_2,cv,tfidf_word_doc,P0,Baseline-style word TF-IDF over full documents.,"{'config': {'analyzer': 'word', 'ngram_range': [1, 1]}}",train,560,ok,0.3357142857142857,0.4660714285714286,0.6214285714285714,0.7857142857142857,4.381641
